1,account_created,Account Created,2020-04-15,0,User signed up for Enterprise account,0,0.00,2025-12-16 14:32:14.3800000,1001,0
2,active_user,Active User,2020-04-15,62,Reached 5+ orders,31,6308.56,2025-12-16 14:32:14.3800000,1001,11
3,first_purchase,First Purchase,2020-04-15,0,Made first purchase,0,4.60,2025-12-16 14:32:14.3800000,1001,1
4,power_user,Power User,2020-04-15,109,Achieved Power User status,31,9462.83,2025-12-16 14:32:14.3800000,1001,11
5,account_created,Account Created,2020-03-31,0,User signed up for SMB account,0,0.00,2025-12-16 14:32:14.3800000,1002,0
6,active_user,Active User,2020-03-31,68,Reached 5+ orders,76,13639.30,2025-12-16 14:32:14.3800000,1002,14
7,first_purchase,First Purchase,2020-03-31,0,Made first purchase,0,1.34,2025-12-16 14:32:14.3800000,1002,1
8,power_user,Power User,2020-03-31,120,Achieved Power User status,76,20458.94,2025-12-16 14:32:14.3800000,1002,14
9,account_created,Account Created,2020-02-19,0,User signed up for Strategic account,0,0.00,2025-12-16 14:32:14.3800000,1003,0
10,active_user,Active User,2020-02-19,85,Reached 5+ orders,61,19970.82,2025-12-16 14:32:14.3800000,1003,13
11,first_purchase,First Purchase,2020-02-19,0,Made first purchase,0,1.34,2025-12-16 14:32:14.3800000,1003,1
12,high_value,High Value,2020-02-19,127,Achieved High Value status,61,39941.64,2025-12-16 14:32:14.3800000,1003,13
13,power_user,Power User,2020-02-19,149,Achieved Power User status,61,29956.23,2025-12-16 14:32:14.3800000,1003,13
14,account_created,Account Created,2020-01-14,0,User signed up for SMB account,0,0.00,2025-12-16 14:32:14.3800000,1004,0
15,active_user,Active User,2020-01-14,99,Reached 5+ orders,62,11594.61,2025-12-16 14:32:14.3800000,1004,13
16,first_purchase,First Purchase,2020-01-14,0,Made first purchase,0,2.02,2025-12-16 14:32:14.3800000,1004,1
17,power_user,Power User,2020-01-14,174,Achieved Power User status,62,17391.91,2025-12-16 14:32:14.3800000,1004,13
18,account_created,Account Created,2020-03-01,0,User signed up for SMB account,0,0.00,2025-12-16 14:32:14.3800000,1005,0
19,active_user,Active User,2020-03-01,80,Reached 5+ orders,71,16757.46,2025-12-16 14:32:14.3800000,1005,12
20,first_purchase,First Purchase,2020-03-01,0,Made first purchase,0,1.69,2025-12-16 14:32:14.3800000,1005,1
21,high_value,High Value,2020-03-01,121,Achieved High Value status,71,33514.92,2025-12-16 14:32:14.3800000,1005,12
